Date,Price
1914-12-01,-1.139049896346031
1915-01-01,-1.124452638732357
1915-02-01,-1.129632310788822
1915-03-01,-1.1079718640072413
1915-04-01,-1.031218541715988
1915-05-01,-1.0359273344945927
1915-06-01,-1.0128542498794306
1915-07-01,-0.9803635797070597
1915-08-01,-0.9106734465837132
1915-09-01,-0.851813536851157
1915-10-01,-0.7873030757842756
1915-11-01,-0.7684679046698576
1915-12-01,-0.7435113029432537
1916-01-01,-0.7651717497248344
1916-02-01,-0.7760019731156248
1916-03-01,-0.778356369504927
1916-04-01,-0.8117887982330189
1916-05-01,-0.8080217640101353
1916-06-01,-0.8033129712315308
1916-07-01,-0.8240316594573905
1916-08-01,-0.8000168162865077
1916-09-01,-0.7392733894425096
1916-10-01,-0.695481616601488
1916-11-01,-0.6408596203696758
1916-12-01,-0.7293849246074403
1917-01-01,-0.7420986651096724
1917-02-01,-0.800487695564368
1917-03-01,-0.7656426290026948
1917-04-01,-0.7727058181706016
1917-05-01,-0.7778854902270665
1917-06-01,-0.7439821822211141
1917-07-01,-0.7821234037278105
1917-08-01,-0.8221481423459487
1917-09-01,-0.8697069494098542
1917-10-01,-0.912556963695155
1917-11-01,-0.9846014932078037
1917-12-01,-0.9959025958764545
1918-01-01,-0.935630048310317
1918-02-01,-0.9040811366936669
1918-03-01,-0.921974549252364
1918-04-01,-0.9257415834752475
1918-05-01,-0.893721792580737
1918-06-01,-0.8993723439150624
1918-07-01,-0.8861877241349699
1918-08-01,-0.885245965579249
1918-09-01,-0.880066293522784
1918-10-01,-0.8447503476832503
1918-11-01,-0.8659399151869706
1918-12-01,-0.880066293522784
1919-01-01,-0.8880712412464116
1919-02-01,-0.8805371728006444
1919-03-01,-0.8419250720160877
1919-04-01,-0.7986041784529262
1919-05-01,-0.7209090976059521
1919-06-01,-0.6813552382656746
1919-07-01,-0.6239079663666997
1919-08-01,-0.6846513932106976
1919-09-01,-0.6380343447025131
1919-10-01,-0.5843541070264219
1919-11-01,-0.6060145538080026
1919-12-01,-0.6606365500398147
1920-01-01,-0.6596947914840937
1920-02-01,-0.7482200957218582
1920-03-01,-0.7345645966639052
1920-04-01,-0.7204382183280917
1920-05-01,-0.7990750577307868
1920-06-01,-0.7934245063964613
1920-07-01,-0.8028420919536703
1920-08-01,-0.8541679332404593
1920-09-01,-0.8423959512939481
1920-10-01,-0.857934967463343
1920-11-01,-0.9102025673058528
1920-12-01,-0.9770674247620365
1921-01-01,-0.9530525815911536
1921-02-01,-0.944105875311805
1921-03-01,-0.950227305923991
1921-04-01,-0.9318630140874334
1921-05-01,-0.9346882897545961
1921-06-01,-1.0053201814336634
1921-07-01,-1.0109707327679889
1921-08-01,-1.0265097489373836
1921-09-01,-1.0039075436000822
1921-10-01,-0.9817762175406409
1921-11-01,-0.944105875311805
1921-12-01,-0.9054937745272483
1922-01-01,-0.8979597060814811
1922-02-01,-0.8682943115762728
1922-03-01,-0.8358036414039017
1922-04-01,-0.7971915406193449
1922-05-01,-0.7722349388927411
1922-06-01,-0.7760019731156248
1922-07-01,-0.7623464740576718
1922-08-01,-0.7293849246074403
1922-09-01,-0.722792614717394
1922-10-01,-0.717612942660929
1922-11-01,-0.7552832848897649
1922-12-01,-0.7435113029432537
1923-01-01,-0.7322102002746029
1923-02-01,-0.7077244778258597
1923-03-01,-0.6785299625985117
1923-04-01,-0.7100788742151619
1923-05-01,-0.7576376812790672
1923-06-01,-0.7854195586728338
1923-07-01,-0.816026711733763
1923-08-01,-0.8051964883429725
1923-09-01,-0.8023712126758099
1923-10-01,-0.8268569351245532
1923-11-01,-0.8033129712315308
1923-12-01,-0.7708223010591598
1924-01-01,-0.7359772344974865
1924-02-01,-0.7265596489402776
1924-03-01,-0.7566959227233464
1924-04-01,-0.7910701100071591
1924-05-01,-0.805667367620833
1924-06-01,-0.778356369504927
1924-07-01,-0.7223217354395335
1924-08-01,-0.681826117543535
1924-09-01,-0.6879475481557207
1924-10-01,-0.6997195301022319
1924-11-01,-0.643214016758978
1924-12-01,-0.569756849412748
1925-01-01,-0.5123095775137733
1925-02-01,-0.5226689216267031
1925-03-01,-0.5236106801824241
1925-04-01,-0.5297321107946098
1925-05-01,-0.4746392352849373
1925-06-01,-0.44309032366828716
1925-07-01,-0.39600239588224223
1925-08-01,-0.34938534737405785
1925-09-01,-0.3154820393681056
1925-10-01,-0.23825783779899176
1925-11-01,-0.20859244329378343
1925-12-01,-0.2015292541258767
1926-01-01,-0.1869319965122029
1926-02-01,-0.16527154973062216
1926-03-01,-0.2985303853651293
1926-04-01,-0.33337545192680246
1926-05-01,-0.3357298483161047
1926-06-01,-0.2618018016920142
1926-07-01,-0.18033968662215646
1926-08-01,-0.1172418633888564
1926-09-01,-0.13890231017043717
1926-10-01,-0.2189517874067135
1926-11-01,-0.2071798054602023
1926-12-01,-0.156795722729134
1927-01-01,-0.20058749557015584
1927-02-01,-0.1676259461199244
1927-03-01,-0.149261654283367
1927-04-01,-0.11206219133239134
1927-05-01,-0.06732865993564868
1927-06-01,-0.06685778065778838
1927-07-01,-0.0056434745359300025
1927-08-01,0.07440600270034635
1927-09-01,0.18223735733038937
1927-10-01,0.13044063676573997
1927-11-01,0.13185327459932109
1927-12-01,0.2076648383348535
1928-01-01,0.21661154461420193
1928-02-01,0.18270823660824964
1928-03-01,0.2688791444567119
1928-04-01,0.3437489496365232
1928-05-01,0.380006654031778
1928-06-01,0.3348022433571748
1928-07-01,0.3286808127449889
1928-08-01,0.4831292158832163
1928-09-01,0.5966111218475846
